98%">"FECHA","TEMPERATURA",
"","  C",
"01/06/20220:00","13.8",
"01/06/20220:10","13.6",
"01/06/20220:20","13.2",
"01/06/20220:30","13.1",
"01/06/20220:40","13.8",
"01/06/20220:50","13.6",
"01/06/20221:00","12.8",
"01/06/20221:10","12.4",
"01/06/20221:20","12.3",
"01/06/20221:30","12.2",
"01/06/20221:40","12.1",
"01/06/20221:50","11.8",
"01/06/20222:00","11.9",
"01/06/20222:10","11.8",
"01/06/20222:20","11.7",
"01/06/20222:30","11.7",
"01/06/20222:40","11.6",
"01/06/20222:50","11.2",
"01/06/20223:00","11.1",
"01/06/20223:10","11.1",
"01/06/20223:20","10.7",
"01/06/20223:30","10.6",
"01/06/20223:40","10.9",
"01/06/20223:50","11.1",
"01/06/20224:00","10.9",
"01/06/20224:10","10.7",
"01/06/20224:20","10.6",
"01/06/20224:30","10.3",
"01/06/20224:40","10.2",
"01/06/20224:50","10.1",
"01/06/20225:00","10.1",
"01/06/20225:10","10.6",
"01/06/20225:20","11.2",
"01/06/20225:30","11.6",
"01/06/20225:40","12.5",
"01/06/20225:50","13.6",
"01/06/20226:00","14.3",
"01/06/20226:10","14.7",
"01/06/20226:20","15.1",
"01/06/20226:30","15.4",
"01/06/20226:40","15.3",
"01/06/20226:50","15.5",
"01/06/20227:00","15.9",
"01/06/20227:10","16.6",
"01/06/20227:20","16.8",
"01/06/20227:30","17.0",
"01/06/20227:40","17.8",
"01/06/20227:50","18.4",
"01/06/20228:00","18.7",
"01/06/20228:10","19.5",
"01/06/20228:20","19.9",
"01/06/20228:30","20.3",
"01/06/20228:40","21.1",
"01/06/20228:50","21.8",
"01/06/20229:00","22.3",
"01/06/20229:10","22.9",
"01/06/20229:20","23.2",
"01/06/20229:30","23.6",
"01/06/20229:40","24.5",
"01/06/20229:50","25.6",
"01/06/202210:00","25.7",
"01/06/202210:10","26.2",
"01/06/202210:20","26.5",
"01/06/202210:30","26.8",
"01/06/202210:40","27.2",
"01/06/202210:50","27.3",
"01/06/202211:00","27.4",
"01/06/202211:10","27.7",
"01/06/202211:20","27.9",
"01/06/202211:30","28.0",
"01/06/202211:40","28.2",
"01/06/202211:50","28.2",
"01/06/202212:00","28.2",
"01/06/202212:10","28.4",
"01/06/202212:20","28.7",
"01/06/202212:30","28.6",
"01/06/202212:40","28.9",
"01/06/202212:50","29.2",
"01/06/202213:00","29.2",
"01/06/202213:10","29.6",
"01/06/202213:20","30.0",
"01/06/202213:30","29.7",
"01/06/202213:40","29.3",
"01/06/202213:50","30.2",
"01/06/202214:00","30.6",
"01/06/202214:10","30.6",
"01/06/202214:20","30.2",
"01/06/202214:30","30.0",
"01/06/202214:40","30.3",
"01/06/202214:50","30.3",
"01/06/202215:00","30.2",
"01/06/202215:10","30.9",
"01/06/202215:20","31.2",
"01/06/202215:30","31.0",
"01/06/202215:40","30.6",
"01/06/202215:50","30.1",
"01/06/202216:00","30.0",
"01/06/202216:10","30.1",
"01/06/202216:20","30.1",
"01/06/202216:30","30.2",
"01/06/202216:40","30.3",
"01/06/202216:50","30.1",
"01/06/202217:00","30.0",
"01/06/202217:10","29.9",
"01/06/202217:20","30.0",
"01/06/202217:30","29.6",
"01/06/202217:40","29.5",
"01/06/202217:50","29.6",
"01/06/202218:00","29.9",
"01/06/202218:10","30.0",
"01/06/202218:20","30.0",
"01/06/202218:30","29.3",
"01/06/202218:40","28.3",
"01/06/202218:50","27.2",
"01/06/202219:00","26.3",
"01/06/202219:10","25.6",
"01/06/202219:20","25.2",
"01/06/202219:30","24.9",
"01/06/202219:40","24.2",
"01/06/202219:50","23.5",
"01/06/202220:00","22.9",
"01/06/202220:10","22.7",
"01/06/202220:20","22.8",
"01/06/202220:30","22.6",
"01/06/202220:40","21.7",
"01/06/202220:50","21.0",
"01/06/202221:00","19.8",
"01/06/202221:10","19.2",
"01/06/202221:20","19.1",
"01/06/202221:30","19.1",
"01/06/202221:40","18.5",
"01/06/202221:50","18.3",
"01/06/202222:00","18.0",
"01/06/202222:10","17.8",
"01/06/202222:20","17.3",
"01/06/202222:30","16.9",
"01/06/202222:40","17.0",
"01/06/202222:50","17.2",
"01/06/202223:00","17.1",
"01/06/202223:10","16.9",
"01/06/202223:20","16.6",
"01/06/202223:30","16.3",
"01/06/202223:40","16.0",
"01/06/202223:50","15.6",
"02/06/20220:00","15.3",
"02/06/20220:10","15.2",
"02/06/20220:20","15.1",
"02/06/20220:30","15.2",
"02/06/20220:40","14.7",
"02/06/20220:50","14.0",
"02/06/20221:00","13.9",
"02/06/20221:10","14.1",
"02/06/20221:20","14.2",
"02/06/20221:30","14.5",
"02/06/20221:40","14.5",
"02/06/20221:50","14.6",
"02/06/20222:00","14.5",
"02/06/20222:10","14.1",
"02/06/20222:20","13.7",
"02/06/20222:30","13.5",
"02/06/20222:40","13.4",
"02/06/20222:50","13.2",
"02/06/20223:00","13.0",
"02/06/20223:10","12.9",
"02/06/20223:20","13.0",
"02/06/20223:30","12.8",
"02/06/20223:40","12.7",
"02/06/20223:50","12.7",
"02/06/20224:00","12.5",
"02/06/20224:10","12.3",
"02/06/20224:20","12.6",
"02/06/20224:30","12.7",
"02/06/20224:40","12.8",
"02/06/20224:50","13.0",
"02/06/20225:00","13.2",
"02/06/20225:10","13.4",
"02/06/20225:20","13.5",
"02/06/20225:30","13.9",
"02/06/20225:40","14.3",
"02/06/20225:50","14.7",
"02/06/20226:00","15.1",
"02/06/20226:10","15.7",
"02/06/20226:20","16.0",
"02/06/20226:30","16.1",
"02/06/20226:40","16.8",
"02/06/20226:50","17.2",
"02/06/20227:00","17.7",
"02/06/20227:10","17.9",
"02/06/20227:20","18.0",
"02/06/20227:30","18.9",
"02/06/20227:40","19.1",
"02/06/20227:50","19.1",
"02/06/20228:00","19.1",
"02/06/20228:10","19.5",
"02/06/20228:20","20.1",
"02/06/20228:30","20.5",
"02/06/20228:40","21.0",
"02/06/20228:50","20.4",
"02/06/20229:00","20.8",
"02/06/20229:10","21.4",
"02/06/20229:20","21.6",
"02/06/20229:30","21.8",
"02/06/20229:40","22.1",
"02/06/20229:50","22.6",
"02/06/202210:00","23.5",
"02/06/202210:10","23.9",
"02/06/202210:20","24.1",
"02/06/202210:30","24.9",
"02/06/202210:40","25.0",
"02/06/202210:50","25.3",
"02/06/202211:00","25.9",
"02/06/202211:10","25.8",
"02/06/202211:20","25.8",
"02/06/202211:30","26.3",
"02/06/202211:40","26.8",
"02/06/202211:50","27.4",
"02/06/202212:00","27.2",
"02/06/202212:10","27.5",
"02/06/202212:20","27.8",
"02/06/202212:30","28.0",
"02/06/202212:40","28.0",
"02/06/202212:50","28.3",
"02/06/202213:00","28.5",
"02/06/202213:10","28.0",
"02/06/202213:20","28.6",
"02/06/202213:30","29.4",
"02/06/202213:40","29.0",
"02/06/202213:50","29.3",
"02/06/202214:00","29.1",
"02/06/202214:10","28.9",
"02/06/202214:20","28.9",
"02/06/202214:30","30.0",
"02/06/202214:40","30.7",
"02/06/202214:50","30.7",
"02/06/202215:00","30.3",
"02/06/202215:10","30.3",
"02/06/202215:20","30.6",
"02/06/202215:30","30.6",
"02/06/202215:40","30.7",
"02/06/202215:50","30.6",
"02/06/202216:00","30.7",
"02/06/202216:10","30.1",
"02/06/202216:20","29.5",
"02/06/202216:30","28.3",
"02/06/202216:40","28.5",
"02/06/202216:50","29.5",
"02/06/202217:00","29.5",
"02/06/202217:10","29.0",
"02/06/202217:20","30.0",
"02/06/202217:30","28.6",
"02/06/202217:40","27.5",
"02/06/202217:50","26.6",
"02/06/202218:00","26.2",
"02/06/202218:10","26.0",
"02/06/202218:20","25.6",
"02/06/202218:30","25.1",
"02/06/202218:40","24.7",
"02/06/202218:50","24.3",
"02/06/202219:00","23.8",
"02/06/202219:10","23.2",
"02/06/202219:20","22.6",
"02/06/202219:30","22.4",
"02/06/202219:40","22.1",
"02/06/202219:50","21.8",
"02/06/202220:00","21.7",
"02/06/202220:10","21.7",
"02/06/202220:20","21.3",
"02/06/202220:30","21.0",
"02/06/202220:40","20.4",
"02/06/202220:50","19.9",
"02/06/202221:00","19.7",
"02/06/202221:10","19.5",
"02/06/202221:20","19.2",
"02/06/202221:30","19.0",
"02/06/202221:40","18.9",
"02/06/202221:50","18.8",
"02/06/202222:00","18.6",
"02/06/202222:10","18.3",
"02/06/202222:20","17.9",
"02/06/202222:30","17.5",
"02/06/202222:40","17.4",
"02/06/202222:50","17.1",
"02/06/202223:00","17.1",
"02/06/202223:10","16.9",
"02/06/202223:20","16.8",
"02/06/202223:30","16.4",
"02/06/202223:40","16.2",
"02/06/202223:50","16.3",
"03/06/20220:00","16.7",
"03/06/20220:10","16.8",
"03/06/20220:20","16.8",
"03/06/20220:30","16.8",
"03/06/20220:40","16.8",
"03/06/20220:50","17.0",
"03/06/20221:00","17.0",
"03/06/20221:10","17.0",
"03/06/20221:20","17.0",
"03/06/20221:30","17.0",
"03/06/20221:40","16.9",
"03/06/20221:50","16.8",
"03/06/20222:00","16.6",
"03/06/20222:10","16.5",
"03/06/20222:20","16.8",
"03/06/20222:30","16.9",
"03/06/20222:40","16.8",
"03/06/20222:50","16.9",
"03/06/20223:00","17.4",
"03/06/20223:10","17.4",
"03/06/20223:20","17.7",
"03/06/20223:30","17.5",
"03/06/20223:40","17.4",
"03/06/20223:50","17.3",
"03/06/20224:00","17.0",
"03/06/20224:10","16.9",
"03/06/20224:20","16.6",
"03/06/20224:30","16.1",
"03/06/20224:40","16.0",
"03/06/20224:50","15.9",
"03/06/20225:00","16.0",
"03/06/20225:10","15.9",
"03/06/20225:20","15.9",
"03/06/20225:30","16.1",
"03/06/20225:40","16.3",
"03/06/20225:50","16.7",
"03/06/20226:00","17.5",
"03/06/20226:10","18.0",
"03/06/20226:20","18.5",
"03/06/20226:30","18.9",
"03/06/20226:40","19.6",
"03/06/20226:50","20.1",
"03/06/20227:00","20.0",
"03/06/20227:10","19.5",
"03/06/20227:20","19.4",
"03/06/20227:30","19.3",
"03/06/20227:40","19.2",
"03/06/20227:50","19.4",
"03/06/20228:00","20.1",
"03/06/20228:10","20.5",
"03/06/20228:20","20.9",
"03/06/20228:30","21.3",
"03/06/20228:40","21.9",
"03/06/20228:50","22.5",
"03/06/20229:00","22.6",
"03/06/20229:10","22.5",
"03/06/20229:20","22.9",
"03/06/20229:30","23.2",
"03/06/20229:40","23.4",
"03/06/20229:50","23.6",
"03/06/202210:00","24.1",
"03/06/202210:10","24.7",
"03/06/202210:20","25.4",
"03/06/202210:30","25.1",
"03/06/202210:40","25.5",
"03/06/202210:50","25.2",
"03/06/202211:00","25.4",
"03/06/202211:10","25.3",
"03/06/202211:20","25.4",
"03/06/202211:30","25.9",
"03/06/202211:40","26.1",
"03/06/202211:50","26.2",
"03/06/202212:00","26.2",
"03/06/202212:10","25.9",
"03/06/202212:20","26.2",
"03/06/202212:30","27.0",
"03/06/202212:40","27.7",
"03/06/202212:50","27.6",
"03/06/202213:00","27.6",
"03/06/202213:10","27.6",
"03/06/202213:20","27.6",
"03/06/202213:30","27.8",
"03/06/202213:40","28.0",
"03/06/202213:50","28.5",
"03/06/202214:00","29.1",
"03/06/202214:10","29.2",
"03/06/202214:20","29.3",
"03/06/202214:30","29.4",
"03/06/202214:40","29.0",
"03/06/202214:50","30.0",
"03/06/202215:00","30.1",
"03/06/202215:10","30.0",
"03/06/202215:20","28.6",
"03/06/202215:30","25.4",
"03/06/202215:40","24.5",
"03/06/202215:50","24.6",
"03/06/202216:00","25.0",
"03/06/202216:10","24.9",
"03/06/202216:20","24.3",
"03/06/202216:30","23.9",
"03/06/202216:40","24.2",
"03/06/202216:50","24.3",
"03/06/202217:00","24.4",
"03/06/202217:10","24.0",
"03/06/202217:20","24.2",
"03/06/202217:30","23.9",
"03/06/202217:40","23.9",
"03/06/202217:50","23.8",
"03/06/202218:00","23.2",
"03/06/202218:10","22.7",
"03/06/202218:20","22.2",
"03/06/202218:30","21.7",
"03/06/202218:40","21.5",
"03/06/202218:50","21.0",
"03/06/202219:00","20.5",
"03/06/202219:10","20.2",
"03/06/202219:20","20.0",
"03/06/202219:30","19.7",
"03/06/202219:40","19.4",
"03/06/202219:50","19.2",
"03/06/202220:00","19.1",
"03/06/202220:10","19.0",
"03/06/202220:20","18.9",
"03/06/202220:30","18.6",
"03/06/202220:40","18.3",
"03/06/202220:50","18.1",
"03/06/202221:00","17.9",
"03/06/202221:10","17.8",
"03/06/202221:20","17.8",
"03/06/202221:30","17.6",
"03/06/202221:40","17.4",
"03/06/202221:50","17.2",
"03/06/202222:00","17.1",
"03/06/202222:10","17.1",
"03/06/202222:20","16.8",
"03/06/202222:30","16.8",
"03/06/202222:40","16.8",
"03/06/202222:50","16.7",
"03/06/202223:00","16.5",
"03/06/202223:10","16.4",
"03/06/202223:20","16.4",
"03/06/202223:30","16.3",
"03/06/202223:40","16.2",
"03/06/202223:50","16.2",
"04/06/20220:00","16.1",
"04/06/20220:10","16.0",
"04/06/20220:20","15.9",
"04/06/20220:30","15.8",
"04/06/20220:40","15.8",
"04/06/20220:50","15.8",
"04/06/20221:00","15.7",
"04/06/20221:10","15.6",
"04/06/20221:20","15.4",
"04/06/20221:30","15.3",
"04/06/20221:40","15.2",
"04/06/20221:50","15.1",
"04/06/20222:00","14.8",
"04/06/20222:10","14.2",
"04/06/20222:20","13.7",
"04/06/20222:30","13.4",
"04/06/20222:40","13.2",
"04/06/20222:50","13.2",
"04/06/20223:00","13.4",
"04/06/20223:10","13.3",
"04/06/20223:20","13.1",
"04/06/20223:30","13.0",
"04/06/20223:40","12.9",
"04/06/20223:50","13.1",
"04/06/20224:00","12.6",
"04/06/20224:10","12.2",
"04/06/20224:20","11.9",
"04/06/20224:30","11.8",
"04/06/20224:40","11.6",
"04/06/20224:50","11.7",
"04/06/20225:00","12.0",
"04/06/20225:10","12.2",
"04/06/20225:20","12.9",
"04/06/20225:30","13.1",
"04/06/20225:40","13.4",
"04/06/20225:50","13.8",
"04/06/20226:00","14.2",
"04/06/20226:10","14.6",
"04/06/20226:20","14.9",
"04/06/20226:30","15.2",
"04/06/20226:40","15.6",
"04/06/20226:50","15.9",
"04/06/20227:00","16.3",
"04/06/20227:10","16.6",
"04/06/20227:20","16.9",
"04/06/20227:30","17.4",
"04/06/20227:40","17.9",
"04/06/20227:50","18.2",
"04/06/20228:00","18.2",
"04/06/20228:10","18.1",
"04/06/20228:20","18.2",
"04/06/20228:30","19.2",
"04/06/20228:40","19.3",
"04/06/20228:50","19.7",
"04/06/20229:00","20.3",
"04/06/20229:10","20.1",
"04/06/20229:20","20.3",
"04/06/20229:30","20.4",
"04/06/20229:40","21.0",
"04/06/20229:50","21.2",
"04/06/202210:00","21.5",
"04/06/202210:10","22.0",
"04/06/202210:20","22.5",
"04/06/202210:30","22.7",
"04/06/202210:40","23.6",
"04/06/202210:50","24.0",
"04/06/202211:00","24.0",
"04/06/202211:10","24.6",
"04/06/202211:20","25.0",
"04/06/202211:30","25.2",
"04/06/202211:40","25.9",
"04/06/202211:50","25.8",
"04/06/202212:00","25.6",
"04/06/202212:10","26.0",
"04/06/202212:20","26.1",
"04/06/202212:30","25.9",
"04/06/202212:40","26.5",
"04/06/202212:50","26.8",
"04/06/202213:00","27.1",
"04/06/202213:10","27.3",
"04/06/202213:20","27.6",
"04/06/202213:30","28.2",
"04/06/202213:40","28.5",
"04/06/202213:50","28.3",
"04/06/202214:00","28.4",
"04/06/202214:10","28.8",
"04/06/202214:20","27.6",
"04/06/202214:30","26.6",
"04/06/202214:40","25.9",
"04/06/202214:50","26.0",
"04/06/202215:00","26.0",
"04/06/202215:10","25.3",
"04/06/202215:20","24.5",
"04/06/202215:30","23.3",
"04/06/202215:40","23.0",
"04/06/202215:50","22.1",
"04/06/202216:00","21.5",
"04/06/202216:10","21.7",
"04/06/202216:20","21.8",
"04/06/202216:30","21.8",
"04/06/202216:40","21.2",
"04/06/202216:50","20.3",
"04/06/202217:00","20.3",
"04/06/202217:10","20.1",
"04/06/202217:20","19.5",
"04/06/202217:30","18.8",
"04/06/202217:40","18.2",
"04/06/202217:50","18.0",
"04/06/202218:00","17.8",
"04/06/202218:10","17.8",
"04/06/202218:20","17.9",
"04/06/202218:30","17.7",
"04/06/202218:40","17.5",
"04/06/202218:50","17.3",
"04/06/202219:00","17.4",
"04/06/202219:10","17.4",
"04/06/202219:20","16.8",
"04/06/202219:30","16.6",
"04/06/202219:40","16.5",
"04/06/202219:50","16.7",
"04/06/202220:00","16.6",
"04/06/202220:10","16.3",
"04/06/202220:20","16.0",
"04/06/202220:30","15.9",
"04/06/202220:40","15.8",
"04/06/202220:50","15.7",
"04/06/202221:00","15.5",
"04/06/202221:10","15.5",
"04/06/202221:20","15.5",
"04/06/202221:30","15.6",
"04/06/202221:40","15.5",
"04/06/202221:50","15.5",
"04/06/202222:00","15.5",
"04/06/202222:10","15.5",
"04/06/202222:20","15.6",
"04/06/202222:30","15.8",
"04/06/202222:40","15.8",
"04/06/202222:50","15.8",
"04/06/202223:00","15.8",
"04/06/202223:10","15.8",
"04/06/202223:20","15.7",
"04/06/202223:30","15.3",
"04/06/202223:40","14.9",
"04/06/202223:50","14.7",
"05/06/20220:00","14.5",
"05/06/20220:10","14.4",
"05/06/20220:20","14.3",
"05/06/20220:30","13.9",
"05/06/20220:40","13.6",
"05/06/20220:50","13.4",
"05/06/20221:00","12.9",
"05/06/20221:10","12.4",
"05/06/20221:20","12.1",
"05/06/20221:30","11.8",
"05/06/20221:40","11.6",
"05/06/20221:50","11.2",
"05/06/20222:00","11.1",
"05/06/20222:10","11.1",
"05/06/20222:20","10.9",
"05/06/20222:30","11.2",
"05/06/20222:40","12.1",
"05/06/20222:50","12.7",
"05/06/20223:00","12.6",
"05/06/20223:10","12.5",
"05/06/20223:20","13.0",
"05/06/20223:30","13.6",
"05/06/20223:40","13.8",
"05/06/20223:50","14.1",
"05/06/20224:00","14.3",
"05/06/20224:10","14.0",
"05/06/20224:20","13.5",
"05/06/20224:30","13.2",
"05/06/20224:40","12.8",
"05/06/20224:50","12.2",
"05/06/20225:00","12.6",
"05/06/20225:10","13.0",
"05/06/20225:20","13.1",
"05/06/20225:30","13.3",
"05/06/20225:40","13.8",
"05/06/20225:50","14.3",
"05/06/20226:00","14.9",
"05/06/20226:10","15.9",
"05/06/20226:20","16.7",
"05/06/20226:30","16.1",
"05/06/20226:40","16.4",
"05/06/20226:50","16.7",
"05/06/20227:00","17.1",
"05/06/20227:10","17.0",
"05/06/20227:20","16.8",
"05/06/20227:30","17.1",
"05/06/20227:40","17.4",
"05/06/20227:50","17.5",
"05/06/20228:00","17.8",
"05/06/20228:10","17.7",
"05/06/20228:20","18.3",
"05/06/20228:30","18.4",
"05/06/20228:40","18.5",
"05/06/20228:50","18.6",
"05/06/20229:00","19.2",
"05/06/20229:10","19.4",
"05/06/20229:20","19.1",
"05/06/20229:30","19.8",
"05/06/20229:40","20.3",
"05/06/20229:50","20.2",
"05/06/202210:00","20.5",
"05/06/202210:10","20.9",
"05/06/202210:20","20.8",
"05/06/202210:30","21.0",
"05/06/202210:40","21.3",
"05/06/202210:50","21.3",
"05/06/202211:00","21.7",
"05/06/202211:10","22.3",
"05/06/202211:20","22.3",
"05/06/202211:30","22.7",
"05/06/202211:40","22.7",
"05/06/202211:50","23.3",
"05/06/202212:00","23.2",
"05/06/202212:10","22.9",
"05/06/202212:20","22.8",
"05/06/202212:30","23.6",
"05/06/202212:40","24.3",
"05/06/202212:50","23.8",
"05/06/202213:00","24.5",
"05/06/202213:10","24.2",
"05/06/202213:20","24.0",
"05/06/202213:30","23.9",
"05/06/202213:40","24.1",
"05/06/202213:50","24.0",
"05/06/202214:00","24.5",
"05/06/202214:10","24.3",
"05/06/202214:20","24.7",
"05/06/202214:30","24.6",
"05/06/202214:40","24.3",
"05/06/202214:50","24.4",
"05/06/202215:00","24.1",
"05/06/202215:10","24.4",
"05/06/202215:20","24.6",
"05/06/202215:30","24.8",
"05/06/202215:40","24.8",
"05/06/202215:50","24.5",
"05/06/202216:00","24.1",
"05/06/202216:10","23.9",
"05/06/202216:20","24.1",
"05/06/202216:30","23.9",
"05/06/202216:40","23.9",
"05/06/202216:50","23.6",
"05/06/202217:00","23.3",
"05/06/202217:10","23.1",
"05/06/202217:20","22.8",
"05/06/202217:30","22.6",
"05/06/202217:40","22.6",
"05/06/202217:50","22.2",
"05/06/202218:00","21.9",
"05/06/202218:10","21.5",
"05/06/202218:20","21.2",
"05/06/202218:30","21.1",
"05/06/202218:40","20.7",
"05/06/202218:50","20.1",
"05/06/202219:00","19.6",
"05/06/202219:10","19.2",
"05/06/202219:20","18.9",
"05/06/202219:30","18.5",
"05/06/202219:40","18.1",
"05/06/202219:50","17.7",
"05/06/202220:00","17.4",
"05/06/202220:10","17.1",
"05/06/202220:20","16.9",
"05/06/202220:30","16.7",
"05/06/202220:40","16.5",
"05/06/202220:50","16.3",
"05/06/202221:00","16.1",
"05/06/202221:10","16.0",
"05/06/202221:20","15.7",
"05/06/202221:30","15.8",
"05/06/202221:40","15.5",
"05/06/202221:50","14.8",
"05/06/202222:00","14.4",
"05/06/202222:10","14.2",
"05/06/202222:20","14.3",
"05/06/202222:30","14.2",
"05/06/202222:40","13.9",
"05/06/202222:50","13.6",
"05/06/202223:00","13.2",
"05/06/202223:10","12.9",
"05/06/202223:20","12.8",
"05/06/202223:30","12.4",
"05/06/202223:40","12.2",
"05/06/202223:50","12.1",
"06/06/20220:00","11.9",
"06/06/20220:10","11.7",
"06/06/20220:20","12.0",
"06/06/20220:30","12.2",
"06/06/20220:40","12.1",
"06/06/20220:50","11.9",
"06/06/20221:00","12.0",
"06/06/20221:10","11.9",
"06/06/20221:20","11.8",
"06/06/20221:30","11.8",
"06/06/20221:40","11.8",
"06/06/20221:50","11.7",
"06/06/20222:00","11.5",
"06/06/20222:10","11.1",
"06/06/20222:20","10.7",
"06/06/20222:30","10.5",
"06/06/20222:40","10.3",
"06/06/20222:50","10.3",
"06/06/20223:00","10.1",
"06/06/20223:10","9.9",
"06/06/20223:20","9.7",
"06/06/20223:30","9.8",
"06/06/20223:40","10.3",
"06/06/20223:50","10.2",
"06/06/20224:00","10.2",
"06/06/20224:10","9.8",
"06/06/20224:20","9.5",
"06/06/20224:30","9.3",
"06/06/20224:40","9.3",
"06/06/20224:50","9.8",
"06/06/20225:00","10.2",
"06/06/20225:10","10.2",
"06/06/20225:20","10.8",
"06/06/20225:30","11.4",
"06/06/20225:40","12.1",
"06/06/20225:50","13.0",
"06/06/20226:00","13.4",
"06/06/20226:10","14.2",
"06/06/20226:20","14.7",
"06/06/20226:30","14.4",
"06/06/20226:40","14.9",
"06/06/20226:50","15.4",
"06/06/20227:00","15.4",
"06/06/20227:10","15.6",
"06/06/20227:20","16.3",
"06/06/20227:30","16.6",
"06/06/20227:40","16.9",
"06/06/20227:50","16.8",
"06/06/20228:00","17.2",
"06/06/20228:10","17.7",
"06/06/20228:20","18.0",
"06/06/20228:30","18.2",
"06/06/20228:40","18.7",
"06/06/20228:50","19.2",
"06/06/20229:00","19.6",
"06/06/20229:10","20.3",
"06/06/20229:20","20.7",
"06/06/20229:30","21.0",
"06/06/20229:40","21.8",
"06/06/20229:50","22.6",
"06/06/202210:00","23.4",
"06/06/202210:10","23.7",
"06/06/202210:20","24.1",
"06/06/202210:30","23.9",
"06/06/202210:40","24.1",
"06/06/202210:50","24.2",
"06/06/202211:00","24.5",
"06/06/202211:10","25.1",
"06/06/202211:20","24.9",
"06/06/202211:30","25.4",
"06/06/202211:40","25.3",
"06/06/202211:50","25.2",
"06/06/202212:00","25.0",
"06/06/202212:10","25.4",
"06/06/202212:20","25.5",
"06/06/202212:30","24.7",
"06/06/202212:40","23.9",
"06/06/202212:50","23.8",
"06/06/202213:00","24.1",
"06/06/202213:10","24.2",
"06/06/202213:20","24.1",
"06/06/202213:30","24.3",
"06/06/202213:40","24.5",
"06/06/202213:50","24.9",
"06/06/202214:00","25.7",
"06/06/202214:10","25.1",
"06/06/202214:20","25.7",
"06/06/202214:30","26.5",
"06/06/202214:40","25.9",
"06/06/202214:50","25.7",
"06/06/202215:00","25.4",
"06/06/202215:10","25.6",
"06/06/202215:20","26.3",
"06/06/202215:30","25.7",
"06/06/202215:40","25.8",
"06/06/202215:50","25.6",
"06/06/202216:00","25.4",
"06/06/202216:10","24.9",
"06/06/202216:20","24.7",
"06/06/202216:30","24.9",
"06/06/202216:40","25.0",
"06/06/202216:50","24.8",
"06/06/202217:00","24.5",
"06/06/202217:10","24.3",
"06/06/202217:20","23.9",
"06/06/202217:30","23.2",
"06/06/202217:40","22.5",
"06/06/202217:50","22.2",
"06/06/202218:00","21.7",
"06/06/202218:10","21.5",
"06/06/202218:20","21.5",
"06/06/202218:30","21.2",
"06/06/202218:40","20.6",
"06/06/202218:50","20.5",
"06/06/202219:00","19.9",
"06/06/202219:10","19.2",
"06/06/202219:20","18.8",
"06/06/202219:30","18.7",
"06/06/202219:40","18.4",
"06/06/202219:50","18.0",
"06/06/202220:00","18.0",
"06/06/202220:10","17.9",
"06/06/202220:20","17.6",
"06/06/202220:30","17.2",
